title,genre
Filly Brown,Drama
The Dish,Drama
Waiting for Guffman,Comedy
The Age of Innocence,Drama
Malevolence,Horror
Old Partner,Documentary
Lady Jane,Drama
Mad Dog Time,Drama
Beauty Is Embarrassing,Documentary
The Snowtown Murders,Drama
Superman II,Action & Adventure
Leap of Faith,Drama
The Royal Tenenbaums,Comedy
School for Scoundrels,Comedy
Rhinestone,Comedy
Burn After Reading,Drama
The Doors,Drama
The Wood,Drama
Jason X,Horror
Dragon Wars,Drama
Fallen,Drama
The Gleaners and I,Documentary
Tamara Drewe,Drama
Not Without My Daughter,Drama
The Yes Men Fix the World,Documentary
"Oh, God! You Devil",Comedy
Meet Joe Black,Drama
The Bay,Horror
Scandal,Art House & International
Imagine: John Lennon,Musical & Performing Arts
Locke,Mystery & Suspense
The Spongebob Squarepants Movie,Animation
The Muppet Christmas Carol,Science Fiction & Fantasy
Die Hard 2,Mystery & Suspense
The Reckoning,Documentary
Alice in Wonderland,Action & Adventure
I'm Not There,Drama
Three Wishes,Drama
Aliens,Action & Adventure
Driving Miss Daisy,Drama
Max,Drama
Serpico,Drama
Basic,Drama
The Guru,Comedy
The Color Purple,Drama
The Dream Team,Comedy
The Man Without a Face,Drama
The White Countess,Drama
Viva Knievel!,Drama
Rising Sun,Drama
Mojados: Through the Night,Documentary
Seven Pounds,Drama
The Mothman Prophecies,Mystery & Suspense
Breaking and Entering,Drama
The English Patient,Drama
Heaven & Earth,Drama
The Last Kiss,Drama
Three of Hearts,Drama
The Tortured,Mystery & Suspense
The Package,Mystery & Suspense
"Happy, Texas",Comedy
Then She Found Me,Drama
Promises,Documentary
Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Documentary
The Recruit,Mystery & Suspense
Alvin and the Chipmunks: Chipwrecked,Animation
The Thin Blue Line,Documentary
The Cotton Club,Musical & Performing Arts
Lord of the Flies,Drama
"Same Time, Next Year",Drama
Proof of Life,Drama
Waking Up in Reno,Comedy
Silent Fall,Mystery & Suspense
Rock 'n' Roll High School,Comedy
Twilight Zone---The Movie,Horror
The Golden Bowl,Drama
Rio 2,Animation
Easy,Drama
Major League: Back to the Minors,Comedy
The Wedding Banquet (Xi yan),Drama
Gotti,Drama
Strange Brew,Comedy
Robocop 2,Action & Adventure
Riders (Steal),Action & Adventure
Warrior,Drama
Percy Jackson: Sea of Monsters,Drama
Visioneers,Drama
Bats,Drama
The Brother from Another Planet,Drama
Blame It on Rio,Comedy
North Face (Nordwand),Drama
Predator,Action & Adventure
The Reef,Mystery & Suspense
Dirty Sanchez: The Movie,Comedy
Shakedown,Drama
The Principal,Drama
A New Life,Drama
Arlington Road,Mystery & Suspense
Annie Hall,Comedy
Charlie: The Life and Art of Charles Chaplin,Documentary
The Sessions,Drama
Prison,Drama
Kiss of Death,Drama
Citizen X,Drama
The Comebacks,Comedy
The Other Woman,Drama
Pusher III: I'm the Angel of Death,Drama
Two for the Money,Drama
Star Trek V - The Final Frontier,Action & Adventure
Cop & 1/2,Comedy
Django Unchained,Other
Cousins,Drama
Spy Game,Drama
Held Up,Comedy
Striking Distance,Mystery & Suspense
One Night With the King,Drama
