bom_id|seq_num|level|part_num|part_version|part_name|part_family|part_name_zh
X74_FS|1|0|3683151|AC|LEVEL 1 Driver seat level 1|Assy|level 1主驾
X74_FS|2|0|3683155|AC|LEVEL 1 Passenger seat|Assy|level 1副驾
X74_FS|3|0|4804213|AA|LEVEL 1+ Driver seat PVC|Assy|level 1+ 主驾 PVC
X74_FS|4|0|3683156|AD|LEVEL 1+ Driver seat|Assy|level 1+ option 主驾
X74_FS|5|0|3683157|AD|LEVEL 1+ Passenger seat|Assy|level 1+ 副驾
X74_FS|6|0|3683158|AD|LEVEL 1+Passenger option  seat|Assy|level 1+ option 副驾
X74_FS|7|0|3683160|AC|LEVEL 2 Driver seat|Assy|level 2 主驾
X74_FS|8|0|3683161|AC|LEVEL 2 Passenger seat|Assy|level 2 副驾
X74_FS|9|0|3683162|AC|LEVEL 3 Driver seat|Assy|level 3 主驾
X74_FS|10|0|3683163|AC|LEVEL 3 Passenger seat|Assy|level 3 副驾
X74_FS|11|0|3683165|AC|LEVEL 3  Driver option seat|Assy|level 3+ 主驾
X74_FS|12|0|3683166|AC|LEVEL 3 Passenger option seat|Assy|level 3+ 副驾
X74_FS|13|0|3683167|AC|LEVEL 4&5 Driver seat|Assy|level 4&5 主驾
X74_FS|14|0|3683168|AC|LEVEL 4&5 Passenger seat|Assy|level 4&5 副驾
X74_FS|15|1|3483660|AD|CUSHION_COMPLETE_6W_MANUAL DRIVER||6向手动坐框主驾骨架
X74_FS|16|1|3483677|AD|CUSHION_COMPLETE_6W_MANUAL PASSENGER||6向手动坐框副驾骨架
X74_FS|17|1|3486999|AC|CUSHION_COMPLETE_8W_POWER TILT DRIVER||8向电动坐框主驾骨架
X74_FS|18|1|3483682|AC|CUSHION_COMPLETE_8W_POWER TILT PASSENGER||8向电动坐框副驾骨架
X74_FS|19|2|3559553|AB|CUSHION PAN WELD ASSY_8W_POWER||座盆焊接总成
X74_FS|20|3|3484190|AB|CUSHION PAN_8W_POWER||座盆
X74_FS|21|3|3559555|1|CUSHION SUPPORT WIRE LH||座框支撑钢丝左侧
X74_FS|22|3|3559556|1|CUSHION SUPPORT WIRE RH||座框支撑钢丝右侧
X74_FS|23|3|3559558|1|CUSHION SUPPORT WIRE MIDDLE||座框支撑钢丝中
X74_FS|24|2|3559559|1|Tilt 2000 ASSY DRIVER||tilt 2000主驾
X74_FS|25|2|3559561|1|Tilt 2000 ASSY PASSENGER||tilt 2000副驾
X74_FS|26|3|3484417|AA AB|TILT TUBE WELD ASSY DRIVER||tilt 横管焊接总成主驾
X74_FS|27|3|3484436|AA AB|TILT TUBE WELD ASSY PASSENGER||tilt 横管焊接总成副驾驾
X74_FS|28|4|4936486|AA|cushion restriction bracket||坐框限位支架
