bom_id|seq_num|level|part_num|part_version|part_name|part_family|part_name_zh
U375_1RW|1|1|2703279|A|2W FS, PASS, RH, BM, SBR, FA, CHN|Assembly-Seat-Set-Front|中国区两向副座右，带锁扣，SBR，织物
U375_1RW|2|1|2703291|A|2W FS, PASS, RH, SAB, BM, SBR, LE, CHN|Assembly-Seat-Set-Front|中国区两向副座右，带SAB,锁扣，SBR，真皮
U375_1RW|3|1|2703293|A|4W FS, DRV, LH, BM, FA, CHN|Assembly-Seat-Set-Front|中国区四向正坐左，带锁扣，织物
U375_1RW|4|1|2703298|A|8W FS, PASS, RH, SAB, HEAT, BM, SBR, LE, CHN|Assembly-Seat-Set-Front|中国区八向副座右，带SAB，加热功能，锁扣，SBR，真皮
U375_1RW|5|1|2703302|A|8W FS, DRV, LH, SAB, HEAT, BM, LE, CHN|Assembly-Seat-Set-Front|中国区八向正座左，带SAB,加热功能，锁扣，真皮
U375_1RW|6|1|2703304|A|8W FS, DRV, LH, SAB, BM, LE, CHN|Assembly-Seat-Set-Front|中国区八向正座左，带SAB,锁扣，真皮
U375_1RW|7|2|187070|000|ANTI SQUEAK PAD|Assembly-Seat|防噪音垫
U375_1RW|8|2|2340662|1|FIXING TIE HT ( T50SAH )|Clip-Cable-Wire Harness|卡子
U375_1RW|9|2|119661|3|NUT M6 SAB|Nut|安全气囊装配螺母M6
U375_1RW|10|2|2225606|1|PINCHWELT|JCIM Part|焊接卡子
U375_1RW|11|2|1797265|10|FRM ASM-FSB,LH,MANUAL|Frame-Back|手动靠背骨架组件左
U375_1RW|12|3|1797266|9|SIDEMEMBER ASM, FSB FMC LH,MANUAL|Frame-Back|手动靠背边板组件
U375_1RW|13|4|1797295|7|RECLINER ASM,LH,MANUAL|Recliner-Back|手动调角器组件左
U375_1RW|14|5|1797327|5|RECLINER LOWER ADAPTOR PLATE,LH,MANUAL|Recliner-Back|
U375_1RW|15|5|1909722|4|RECLINER UPPER ADAPTOR PLATE,T6|Bracket|
U375_1RW|16|5|2095435|4|CLOCK SPRING 60DEG,T6|Spring|
