bom_id|seq_num|level|part_num|part_version|part_name|part_family|part_name_zh
FS11|1|3|4275590|AC|6W ASM Track-LH-OTR|Assy|手动左侧滑轨总成
FS11|2|3|4275591|AC|6W ASM Track-LH-INR|Assy|主驾6W手动右侧滑轨总成
FS11|3|3|4275592|AC|6W ASM CQ POWER OUTTER TRACK|Assy|电动左侧滑轨总成
FS11|4|3|4275593|AC|6W ASM CQ POWER INNER TRACK|Assy|主驾6W电动右侧滑轨总成
FS11|5|3|4276287|AC|4W ASM Track-RH-INR|Assy|副驾4W手动右侧滑轨总成
FS11|6|3|4276291|AC|4W ASM CQ POWER RH INNER TRACK|Assy|副驾4W电动右侧滑轨总成
FS11|7|4|4195538|AA|Pivot， Bush|Plastic|旋转衬套
FS11|8|4|4198096|AA|Nut|Fastener|圆柱头螺母
FS11|9|4|4169196|AA|FS11 ASM bracket welded part|Assy|BX11后支架焊接组件
FS11|10|4|4195535|AA|PIN|Fastener|铆钉Φ8
FS11|12|4|4276305|AA|6W ASM Slide-LH|Assy|主驾6W手动左侧上滑轨组件
FS11|13|4|4276314|AA|6W ASM Slide-RH|Assy|主驾6W手动右侧上滑轨组件
FS11|14|4|4276320|AA|6W ASM Slide-LH|Assy|主驾6W电动左侧上滑轨组件
FS11|32|6|4197085|AA|BRACKET，PIVOT|Frame|旋转支架
FS11|33|6|4195515|AA|RIVET|Fastener|铆钉
FS11|34|6|4198098|AA|HDM|Assy|驱动器总成
FS11|41|5|n/d|AA|ASM SLIDE|Frame|保持架
FS11|42|5|4195477|AA|BEARING， BALL|Frame|钢球 5mm
FS11|43|5|4195474|AA|BEARING， BALL|Frame|钢球 6mm
FS11|44|4|4208497|n/d|Grease（Pg109）|Other|润滑脂（Pg109A*）
FS11|45|4|4208502|n/d|Grease（MG108F）|Other|润滑脂（Mg108F）
K316_FS|1|99|3482463|AB|620K CPL Front Seat R-Design|Assy|前排整椅运动款
K316_FS|2|99|3482463|AB|620A CPL Front Seat Textile_Rivil Chine|Assy|前排整椅织物款
K316_FS|3|99|3482463|AB|620A CPL Front Seat Leather|Assy|前排整椅真皮款
K316_FS|4|99|3482463|AB|620A CPL Front Seat R-Design|Assy|前排整椅运动款
K316_FS|5|99|3482463|AB|K316 CPL Front Seat Textile/Vinyl|Assy|前排整椅织物款
K316_FS|6|99|3482463|AB|K316 CPL Front Seat Leather|Assy|前排整椅真皮款
K316_FS|7|99|3482463|AB|K316 CPL Front Seat R-Design|Assy|前排整椅运动款
K316_FS|8|1|4491684|N/A|ASM_Backrest_2WM_LH|Structure|靠背骨架-左
K316_FS|9|1|4491687|N/A|ASM_Backrest_2WM_RH|Structure|靠背骨架-右
K316_FS|10|1|4491689|N/A|ASM_Backrest_2WP_Memory|Structure|靠背骨架带记忆
K316_FS|11|1|4491688|N/A|ASM_Backrest_2WP|Structure|靠背骨架
K316_FS|12|1|4621468|AA|Headrest Trim_Rivil Chine|Assy|头枕_织物款-黑色
K316_FS|13|1|3348469|005|ASM_Headrest_Textile/Vinyl|Assy|头枕_PVC款-黑色
K316_RS|1|0|3383378|AD|620K RS 60% Backrest Assembly_R-Design|Assy|620K 60%靠背总成-运动
K316_RS|2|0|3383378|AD|620A RS 60% Backrest Assembly_Rivil Chine|Assy|620A 60%靠背总成-PVC
K316_RS|3|0|3383378|AD|620A RS 60% Backrest Assembly_Leather|Assy|620A 60%靠背总成-真皮
