name|count
客户|560
管理|497
项目|450
供应商|325
公司|321
业务|301
我们|279
重庆|273
延锋安道|264
财务|255
进行|242
工厂|239
没有|212
流程|201
系统|201
成本|200
问题|193
计划|192
企业|188
目前|176
工作|170
数据|169
需要|168
采购|151
分析|150
产品|149
内部|147
情况|139
主要|138
设计|133
规划|133
转型|132
研发|132
工程|131
部门|131
目标|128
现在|127
通过|123
订单|122
团队|119
时间|117
库存|117
一个|117
需求|116
要求|116
当前|115
商务|115
市场|114
内容|112
事业部|112
建议|107
物料|105
完成|105
零件|105
发展|104
支持|104
可能|104
战略|103
质量|102
调研|101
生产|100
预算|96
负责|96
比较|96
报价|94
费用|92
更好|92
蓝图|92
业务管理|91
未来|90
使用|90
评估|89
可以|86
根据|86
预测|83
物流|82
开发|82
能力|82
制造|82
变更|80
影响|79
提升|79
制定|78
体系|78
人员|78
事项|78
相关|76
交付|76
待办|74
沃尔沃|74
评审|74
核心|74
风险|74
控制|74
行业|73
是否|73
合作|72
PBU|70
导致|70
考核|69
IT|69
平台|68
提出|68
管控|68
价格|67
信息|67
指标|66
方面|66
后续|66
变化|66
就是|65
其他|64
汽车|63
经理|63
以及|62
非常|62
CBU|61
现状|61
希望|60
执行|60
资源|60
支撑|59
已经|59
供应链|59
项目经理|59
实际|59
技术|58
自己|57
存在|57
提纲|57
过程|56
QAD|56
快速|56
创新|55
很多|55
理解|54
但是|54
沟通|54
参考|54
因为|52
考虑|52
实践|52
产能|51
做出|51
如果|51
从而|51
落地|51
提供|50
项目组|50
结合|50
整体|50
职责|50
这个|50
组织|50
开展|50
形成|49
精细化|49
定点|49
负责人|49
最佳|49
智能|49
重要|49
目的|49
原因|48
福特|48
意见|48
智能化|47
对于|47
无法|47
对象|47
差距|46
周期|46
数字化|46
把握|46
此次|46
能够|46
每个|46
实现|46
适应|46
之前|45
本次|45
业务流程|45
To|45
由于|44
涵盖|44
仅限于|44
加快|44
发展趋势|44
中国|43
汇报|43
步伐|43
一些|43
短板|43
我司|43
针对性|43
方案设计|43
按照|43
不同|42
标准|42
绩效|42
更新|42
投资|42
处理|41
零部件|41
如何|41
所以|41
之后|40
备注|40
还是|40
直接|40
OBS|39
人力|39
模块|39
调整|39
原材料|39
BU|39
所有|38
时候|38
方式|38
不能|37
序号|37
开始|37
资金|37
确认|37
日期|37
审核|36
审批|36
品牌|35
痛点|35
策略|35
成品|35
产量|35
参与|35
核算|35
TC|35
差异|35
不够|35
泡沫|35
期望|34
出现|34
同时|34
包括|34
运营|34
总监|34
进入|34
节点|33
量产|33
决策|33
MRP|33
结果|33
一般|33
针对|33
之间|33
职能|33
波动|33
面套|33
一定|32
关系|32
中心|32
结算|32
AFM|32
准确|32
功能|31
状态|31
匹配|31
解决|31
模具|31
较大|31
部分|30
满足|30
不是|30
今年|29
跟踪|29
相应|29
合同|29
关注|29
手工|29
工程师|29
纪要|29
座椅|29
比如|29
有些|29
基本|29
材料|28
前期|28
作为|28
数量|28
阶段|28
不会|28
车型|28
输入|27
选择|27
板块|27
具体|27
应该|27
文件|27
协同|27
什么|27
及时|27
效率|27
涉及|27
他们|27
以前|27
指定|26
协调|26
各个|26
PLM|26
统一|26
获取|26
付款|26
PMO|26
很大|26
两个|25
经验|25
进口|25
对应|25
采用|25
维护|25
回顾|25
只有|25
应用|25
整个|25
输出|25
吉利|25
竞争对手|24
监控|24
投入|24
对接|24
了解|24
设备|24
年度|24
另外|24
专业|23
索赔|23
总部|23
MOC|23
哪些|23
造成|23
骨架|23
税务|22
还有|22
基于|22
只能|22
一起|22
长安|22
程度|22
全球|22
运输|21
投产|21
欧洲|21
JIT|21
EC|21
发布|21
分摊|21
识别|21
收集|21
建立|21
例如|21
拉动|21
明确|21
设置|21
优化|21
本地|21
传递|21
KPI|20
回款|20
优势|20
完全|20
标准化|20
达到|20
基础|20
增加|20
介入|20
承担|20
月度|20
销售|20
报表|19
本身|19
系统化|19
一致|19
模式|19
确定|19
可行性|19
降低|19
OP|19
做到|19
发生|19
不到|19
一样|19
最终|19
内控|18
反馈|18
决定|18
等等|18
准备|18
计算|18
李尔|18
人工|18
工艺|18
这些|18
提前|18
出来|18
方案|18
每年|18
体现|18
SDT|18
签批|18
财务部|18
确保|18
商机|18
最大|18
自主|18
达成|18
第三方|17
及时性|17
员工|17
只是|17
新能源|17
ROS|17
正在|17
100%|17
经营|17
产品开发|17
呆滞|17
发泡|17
自动|16
或者|16
职能部门|16
BOM|16
分解|16
清楚|16
形式|16
起来|16
层级|16
提交|16
样件|16
分为|16
WMS|16
然后|16
下线|16
模块化|16
左右|16
分享|16
启动|16
帮助|16
整合|16
运作|16
机制|16
多少|16
接收|16
准确性|16
统计|16
发放|16
项目管理|15
关键|15
金额|15
异地|15
架构|15
BOS|15
精力|15
拿到|15
申请|15
每月|15
运行|15
方向|15
金属件|15
版本|15
持续|15
到货|15
各自|15
准确率|15
大量|15
Costing|15
运费|14
VAVE|14
同一个|14
现场|14
层面|14
主导|14
因素|14
困难|14
会计|14
怎么|14
分工|14
周转率|14
银行|14
完善|14
共用|14
评价|14
难以|14
模板|14
TBL|14
一次|14
对标|14
判断|14
先期|14
配置|14
年降|14
竞争|14
实施|14
找到|13
平衡|13
运用|13
新增|13
库房|13
压力|13
成熟|13
存货|13
编制|13
冲压|13
清晰|13
业务部门|13
集成|13
Volvo|13
点阵|13
培训|13
最后|13
到位|13
二维|13
成员|13
相对|13
定义|13
机会|13
发现|13
类似|13
来说|13
范围|13
特别|13
放在|13
不足|13
费率|13
南昌|13
合理|13
签订|13
包含|13
知道|12
自制|12
报告|12
定价|12
容易|12
端口|12
SCP|12
成立|12
产生|12
总装|12
遇到|12
沿用|12
HR|12
资料|12
收货|12
变革|12
改善|12
共享|12
销量|12
认为|12
指导|12
超过|12
日常|12
规范|12
每周|12
操作|12
关于|12
单独|12
排序|12
项目部|12
大家|12
成本核算|12
以后|12
实时|12
工作量|12
配合|12
邮件|12
利润|12
记录|11
假设|11
很少|11
人效|11
难度|11
减少|11
清单|11
以上|11
必须|11
去年|11
定期|11
特征|11
几个|11
线下|11
大庆|11
价值|11
改进|11
设变|11
后期|11
MES|11
一直|11
加强|11
战略规划|11
收到|11
集中|11
投决会|11
盘点|11
BP|11
不好|11
采购部|10
空间|10
孵化|10
汇总|10
10%|10
成都|10
批准|10
经常|10
最优|10
类型|10
收款|10
设定|10
最新|10
潜在|10
加工|10
提高|10
测试|10
林肯|10
签字|10
这样|10
主机厂|10
单价|10
安排|10
制度|10
客户端|10
研究|10
综合|10
生命周期|10
规则|10
现有|10
销售额|10
额外|10
搭建|10
很难|10
股东|10
其实|10
用于|10
重点|10
单位|10
筛选|10
表现|10
用户|10
定位|10
符合|10
推动|10
BPM|10
专门|10
上线|10
调动|10
管理层|10
比例|10
签发|10
得到|10
总经理|10
董事会|10
MOQ|10
个人|10
条款|9
节约|9
介绍|9
规定|9
效果|9
LT|9
挑战|9
TMS|9
锁定|9
Plus|9
办法|9
路径|9
回收|9
竞争力|9
因此|9
避免|9
引入|9
全面|9
PLUS|9
子公司|9
对比|9
降价|9
应收|9
PV|9
上海|9
服务|9
足够|9
钱彦|9
会议|9
寻找|9
提供数据|9
看到|9
谈判|9
中间|9
蔚来|9
大部分|9
激励|9
做好|9
开票|9
变动|9
保持|9
利用|9
事情|9
月份|8
政策|8
售后|8
接触|8
财务指标|8
而且|8
单元|8
划分|8
沙发|8
余婧军|8
参加|8
支付|8
结构|8
Ariba|8
带来|8
核对|8
发给|8
有时|8
复核|8
仓库|8
PSA|8
不合理|8
SPS|8
安道拓|8
里面|8
主动|8
结账|8
尽量|8
芝华士|8
50%|8
精确|8
后面|8
特殊|8
下达|8
滚动|8
在线|8
账务|8
管理系统|8
双方|8
环节|8
大概|8
volvo|8
严重|8
保证|8
讨论|8
30%|8
外部|8
已有|8
力度|8
生成|8
询价|8
资产|8
小时|8
这边|8
水平|8
这种|8
法务|8
在于|8
70%|8
原来|8
组织变革|8
才能|8
承诺|8
合理性|8
IPD|7
外包|7
拓展|7
给出|7
质量部|7
缺乏|7
SOP|7
想法|7
当时|7
产出|7
接受|7
中有|7
区别|7
推荐|7
真实|7
被动|7
小鹏|7
建设|7
Jedox|7
抓取|7
自身|7
对外|7
进一步|7
