航班,状态,出发地,预计起飞,实际起飞,航站楼,登机口
MU9920,已到达,['西安'],08:45,08:37,T2,29
KN2217,已到达,['天津'],08:50,08:46,T2,29
MU5516,已到达,['青岛'],08:55,08:34,T2,28
MU9694,已到达,['太原'],08:55,08:32,T2,29
MU5138,已到达,"['北京', '首都机场']",09:20,09:01,T2,31
FM9460,已到达,['贵阳'],09:40,09:27,T2,27
KN5737,取消(计划),"['北京', '南苑机场']",09:50,待定,T2,待定
MU2501,已到达,['武汉'],09:55,09:38,T2,29
FM9168,已到达,['呼和浩特'],09:55,09:40,T2,27
MU5102,已到达,"['北京', '首都机场']",10:15,10:41,T2,31
MU2408,已到达,['太原'],10:30,10:23,T2,29
FM9280,已到达,['阜阳'],10:35,10:17,T2,27
MU5156,已到达,"['北京', '首都机场']",10:40,10:19,T2,31
MU5276,已到达,['银川'],10:40,10:33,T2,29
MU5341,已到达,['烟台'],10:45,10:39,T2,29
MU5304,已到达,['广州'],10:45,10:37,T2,28
MU2220,已到达,['成都'],10:55,10:58,T2,29
FM9206,已到达,['福州'],11:00,10:50,T2,27
MU2151,已到达,['西安'],11:15,11:09,T2,29
MU5104,已到达,"['北京', '首都机场']",11:15,11:12,T2,31
MU5801,已到达,['昆明'],11:20,10:56,T2,30
FM9416,已到达,['连云港'],11:25,11:06,T2,27
MU5572,已到达,['济南'],11:35,11:14,T2,30
FM9074,已到达,['烟台'],11:35,11:19,T2,27
MU5334,已到达,['深圳'],11:40,11:46,T2,30
MU5406,已到达,['成都'],11:45,11:47,T2,29
FM9228,已起飞,['长沙'],11:50,待定,T2,27
MU5314,已到达,['广州'],11:50,11:28,T2,28
MU5803,已起飞,['昆明'],11:55,待定,T2,30
FM9246,已起飞,['南昌'],12:00,待定,T2,27
FM9308,已起飞,['广州'],12:10,待定,T2,28
MU2153,已起飞,['西安'],12:15,待定,T2,29
MU5106,已起飞,"['北京', '首都机场']",12:15,待定,T2,31
MU2153,已起飞,['西宁'],12:15,待定,T2,29
MU9719,已起飞,['丽江'],12:30,待定,T2,30
MU2433,已起飞,['洛阳'],12:35,待定,T2,29
MU2433,已起飞,['鄂尔多斯'],12:35,待定,T2,29
MU5336,已起飞,['深圳'],12:40,待定,T1,9
MU5404,已起飞,['成都'],12:40,待定,T2,29
MU5396,已起飞,['郑州'],12:45,待定,T2,30
FM9264,未起飞,['厦门'],12:55,待定,T2,28
MU5364,未起飞,['长沙'],13:00,待定,T2,30
MU5302,已起飞,['广州'],13:05,待定,T2,28
FM9164,已起飞,['太原'],13:10,待定,T2,27
MU2155,已起飞,['西安'],13:15,待定,T2,29
MU2155,已起飞,['榆林'],13:15,待定,T2,29
MU5108,已起飞,"['北京', '首都机场']",13:20,待定,T2,31
MU5518,未起飞,['青岛'],13:30,待定,T2,28
MU5518,已起飞,['哈尔滨'],13:30,待定,T2,28
FM9148,未起飞,['天津'],13:40,待定,T2,28
MU5338,已起飞,['深圳'],13:45,待定,T2,30
FM9304,已起飞,['广州'],13:50,待定,T2,28
FM9220,已起飞,['乌鲁木齐'],13:55,待定,T2,27
MU5152,未起飞,"['北京', '首都机场']",14:00,待定,T2,31
MU5805,已起飞,['昆明'],14:10,待定,T2,30
MU2386,-,['西安'],14:15,待定,-,待定
MU2157,未起飞,['西安'],14:15,待定,T2,29
FM9340,已起飞,['南宁'],14:15,待定,T2,27
MU2386,已到达,['中卫'],14:15,08:34,T2,307
MU5110,未起飞,"['北京', '首都机场']",14:20,待定,T2,31
FM9538,已起飞,['三亚'],14:20,待定,T2,27
FM9422,未起飞,['重庆'],14:25,待定,T2,27
FM9514,未起飞,['珠海'],14:30,待定,T2,27
MU5540,未起飞,['安庆'],14:45,待定,T2,29
FM9332,未起飞,['深圳'],14:45,待定,T1,9
FM9214,未起飞,['兰州'],14:45,待定,T2,27
