航班,状态,目的地,预计到达,实际到达,航站楼,登机口
MU5539,已到达,['桂林'],06:05,06:05,T2,51
MU5539,已到达,['安庆'],06:05,06:05,T2,51
MU5459,已到达,['乌海'],06:35,06:35,T2,54
MU5459,已到达,['呼和浩特'],06:35,06:35,T2,54
MU5633,已起飞,['喀什'],06:45,06:50,T2,61
MU5633,已到达,['乌鲁木齐'],06:45,06:50,T2,61
FM9279,已到达,['阜阳'],06:45,06:54,T2,65
FM9229,已到达,['鸡西'],06:50,07:17,T2,51
FM9535,已到达,['湛江'],06:50,07:01,T2,64
FM9535,已到达,['厦门'],06:50,07:01,T2,64
FM9073,已到达,['烟台'],06:50,07:08,T2,74
FM9229,已到达,['青岛'],06:50,07:17,T2,51
FM9537,已到达,['三亚'],06:55,06:56,T2,41
FM9205,已到达,['福州'],06:55,07:10,T2,54
MU5137,已到达,"['北京', '首都机场']",07:00,07:12,T2,53
FM9163,已到达,['太原'],07:05,07:45,T2,72
FM9227,已到达,['长沙'],07:05,07:50,T2,43
MU5571,已到达,['济南'],07:10,07:24,T2,51
MU5389,已到达,"['北京', '首都机场']",07:20,07:52,T2,41
MU5389,已到达,['洛阳'],07:20,07:52,T2,41
MU2510,已到达,['武汉'],07:20,07:26,T2,75
MU9720,已到达,['丽江'],07:25,08:10,T2,54
FM9263,已到达,['厦门'],07:25,07:32,T2,53
FM9307,已到达,['广州'],07:30,07:36,T2,37
FM9245,已到达,['南昌'],07:30,07:30,T2,66
MU5395,已到达,['郑州'],07:35,07:40,T2,70
MU5814,已起飞,['腾冲'],07:40,08:17,T2,51
MU5965,已起飞,['临沧'],07:40,08:17,T2,51
FM9213,已到达,['兰州'],07:40,07:43,T2,36
MU5965,已到达,['昆明'],07:40,08:17,T2,51
MU5814,已到达,['昆明'],07:40,08:17,T2,51
FM9421,已到达,['重庆'],07:55,07:48,T2,31
MU5401,已到达,['成都'],08:00,07:55,T2,67
FM9331,已到达,['深圳'],08:00,08:35,T2,53
MU5101,已到达,"['北京', '首都机场']",08:00,08:12,T2,30
MU5363,未起飞,['长沙'],08:05,待定,T2,34
FM9415,已到达,['连云港'],08:05,08:14,T2,60
MU2285,已到达,['威海'],08:10,08:18,T2,69
MU9979,已到达,['青岛'],08:10,08:30,T2,42
FM9453,已起飞,['西双版纳'],08:15,09:19,T2,51
FM9453,已起飞,['昆明'],08:15,09:19,T2,51
FM9147,已到达,['天津'],08:15,08:25,T2,41
MU2152,已到达,['西安'],08:20,08:29,T2,62
FM9515,已到达,['温州'],08:20,08:27,T2,54
FM9301,已到达,['广州'],08:30,08:57,T2,28
MU5151,已到达,"['北京', '首都机场']",08:30,08:44,T2,29
FM9513,已到达,['珠海'],08:35,09:02,T2,43
MU5203,已到达,['柳州'],09:00,09:35,T2,63
MU5333,已到达,['深圳'],09:00,09:28,T2,42
MU5103,已到达,"['北京', '首都机场']",09:00,09:09,T2,56
MU5529,已起飞,['大庆'],09:05,09:21,T2,41
MU5663,已到达,['厦门'],09:05,09:47,T2,22
MU5529,已到达,['青岛'],09:05,09:21,T2,41
FM9269,已起飞,['海口'],09:10,09:40,T2,47
FM9451,已起飞,['昆明'],09:10,10:05,T2,51
FM9269,已到达,['井冈山'],09:10,09:40,T2,47
MU5691,已起飞,['银川'],09:15,09:16,T2,53
FM9127,已起飞,['海拉尔'],09:20,09:25,T2,54
FM9127,已起飞,['呼和浩特'],09:20,09:25,T2,54
FM9201,已到达,['西安'],09:25,09:31,T2,41
MU5405,已起飞,['成都'],09:30,09:54,T2,49
FM9305,取消(计划),['广州'],09:30,待定,T2,42
MU5153,已到达,"['北京', '首都机场']",09:30,09:37,T2,71
MU5423,已起飞,['重庆'],09:35,09:50,T2,51
FM9251,已起飞,['海口'],09:50,09:56,T2,43
MU5337,已起飞,['深圳'],09:55,10:09,T2,53
MU5105,已起飞,"['北京', '首都机场']",10:00,10:11,T2,57
MU5393,已起飞,['广州'],10:05,10:18,T2,64
FM9115,已起飞,['天津'],10:10,11:01,T2,41
MU5665,已起飞,['厦门'],10:10,11:29,T2,51
FM9399,未起飞,['梧州'],10:15,待定,T2,54
MU5535,已起飞,['南宁'],10:15,10:34,T2,42
