"thewords","Freq"
"英雄",578
"教授",513
"变种",321
"超级",273
"狼叔",240
"罗根",232
"世界",206
"不是",198
"Logan",185
"生活",164
"劳拉",155
"系列",155
"能力",134
"希望",131
"杰克",121
"不再",120
"只是",119
"真的",119
"一直",117
"一次",113
"成为",113
"23",110
"曾经",106
"漫画",106
"不会",105
"未来",104
"现在",103
"死亡",102
"不能",99
"漫威",99
"迟暮",97
"人类",93
"时间",93
"还有",92
"孩子",91
"感觉",91
"永远",91
"女儿",88
"所有",86
"很多",83
"拥有",81
"需要",81
"作为",80
"最终",79
"只有",79
"喜欢",79
"这是",79
"一切",77
"一生",74
"生命",74
"变成",73
"查尔斯",73
"甚至",73
"年轻",71
"接受",71
"痛苦",70
"保护",69
"父亲",69
"无法",68
"失去",67
"对于",67
"非常",67
"超能力",66
"人生",65
"可是",65
"朋友",65
"美国",65
"自愈",65
"能够",64
"休叔",63
"时代",63
"以及",62
"不同",61
"也许",61
"然而",60
"而是",60
"应该",59
"原来",58
"杀死",58
"身体",58
"逆转",58
"只能",57
"死去",57
"一战",56
"大家",56
"本身",56
"为什么",54
"删减",54
"那些",54
"面对",54
"不要",53
"两个",53
"即使",53
"结束",53
"一点",52
"然后",52
"告诉",51
"一起",50
"万磁王",50
"上映",50
"其他",50
"别人",50
"反派",50
"存在",50
"德曼",50
"如此",49
"感受",49
"战斗",49
"拯救",49
"现实",49
"老金",49
"孤独",48
"杀戮",48
"来说",48
"当年",47
"身上",47
"出来",46
"整个",46
"看着",46
"精神",46
"老人",46
"起来",46
"过去",46
"镜头",46
"人性",45
"经历",45
"子弹",44
"真正",44
"蝙蝠侠",44
"以后",43
"名字",43
"普通人",43
"有着",43
"爪子",43
"第一次",43
"敌人",42
"殊死",42
"钢爪",42
"不想",41
"伤害",41
"内心",41
"大脑",41
"想起",41
"17",40
"方式",40
"那样",40
"以前",39
"后来",39
"大概",39
"当时",39
"形象",39
"特别",39
"继续",39
"除了",39
"鹰眼",39
"于是",38
"依然",38
"如今",38
"完全",38
"找到",38
"样子",38
"留下",38
"离开",38
"终结",38
"黑暗",38
"一场",37
"再也",37
"力量",37
"发生",37
"宇宙",37
"小女孩",37
"强大",37
"感情",37
"控制",37
"比如",37
"毕竟",37
"沒有",37
"不得不",36
"之间",36
"卡利",36
"合金",36
"意义",36
"愤怒",36
"打斗",36
"结果",36
"记得",36
"彩蛋",35
"改变",35
"西部片",35
"身边",35
"重要",35
"24",34
"主角",34
"人们",34
"传授",34
"同样",34
"居然",34
"心里",34
"成功",34
"更是",34
"绿巨人",34
"老去",34
"选择",34
"不仅",33
"发现",33
"悲伤",33
"情感",33
"或者",33
"普通",33
"有人",33
"自我",33
"这次",33
"逐日",33
"遇到",33
"一位",32
"十字架",32
"同时",32
"活着",32
"照顾",32
"突然",32
"而且",32
"谢幕",32
"这里",32
"里面",32
"问题",32
"一段",31
"个人",31
"他們",31
"克隆",31
"公路",31
"几个",31
"几乎",31
"司机",31
"命运",31
"基因",31
"多少",31
"好像",31
"完美",31
"心中",31
"想要",31
"是因为",31
"蜘蛛侠",31
"一下",30
"再见",30
"原野奇侠",30
"场面",30
"并且",30
"影院",30
"总是",30
"想到",30
"整部",30
"每个",30
"片中",30
"相信",30
"衰老",30
"设定",30
"钢铁",30
"饰演",30
"代表",29
"伸出",29
"公司",29
"关于",29
"告别",29
"多么",29
"带来",29
"帮助",29
"情怀",29
"才能",29
"期待",29
"的话",29
"看过",29
"粉丝",29
"一般",28
"一路",28
"不断",28
"中国",28
